"","BLcode","country","year","sex","agefrom","ageto","lu","lp","lpc","ls","lsc","lh","lhc","yr_sch","yr_sch_pri","yr_sch_sec","yr_sch_ter","pop","WBcode","region_code"
"1",66,"USA",1950,"MF",15,999,2.24,41.72,19.65,42.91,24.6,13.12,6.31,8.4,5.2,2.81,0.39,115216,"USA","Advanced Economies"
"2",66,"USA",1955,"MF",15,999,2.17,37.86,18.1,45.51,26.86,14.46,7.12,8.75,5.28,3.04,0.43,120600,"USA","Advanced Economies"
"3",66,"USA",1960,"MF",15,999,1.96,33.51,16.33,48.79,30.33,15.73,8.46,9.17,5.37,3.32,0.48,128761,"USA","Advanced Economies"
"4",66,"USA",1965,"MF",15,999,1.62,22.96,12.19,57.19,37.17,18.09,8.98,10.03,5.57,3.92,0.54,138996,"USA","Advanced Economies"
"5",66,"USA",1970,"MF",15,999,1.43,15.16,8.58,62.52,42.84,20.89,11.39,10.78,5.72,4.41,0.65,150553,"USA","Advanced Economies"
"6",66,"USA",1975,"MF",15,999,1.24,8.89,5.34,63.09,45.16,26.68,13.3,11.46,5.81,4.85,0.8,164741,"USA","Advanced Economies"
"7",66,"USA",1980,"MF",15,999,0.84,5.04,3.17,64.31,49.03,29.91,16.74,12.03,5.9,5.19,0.93,179012,"USA","Advanced Economies"
"8",66,"USA",1985,"MF",15,999,1.05,7.16,4.6,54.43,40.88,37.36,18.51,12.08,5.86,5.1,1.12,190451,"USA","Advanced Economies"
"9",66,"USA",1990,"MF",15,999,1.15,8.57,5.57,47.18,35.98,43.1,20.71,12.2,5.84,5.08,1.28,199952,"USA","Advanced Economies"
"10",66,"USA",1995,"MF",15,999,0.55,3.09,2.07,52.16,38.26,44.2,20.4,12.59,5.94,5.36,1.29,210111,"USA","Advanced Economies"
"11",66,"USA",2000,"MF",15,999,0.43,2.84,1.95,48.26,30.16,48.47,22.97,12.64,5.95,5.26,1.43,222901,"USA","Advanced Economies"
"12",66,"USA",2005,"MF",15,999,0.43,2.68,1.86,47.41,35.99,49.48,22.39,12.86,5.95,5.47,1.44,236267,"USA","Advanced Economies"
"13",66,"USA",2010,"MF",15,999,0.35,2.75,2.03,42.96,36.19,53.94,26.76,13.18,5.96,5.61,1.61,249660,"USA","Advanced Economies"
"14",90,"Japan",1950,"MF",15,999,4.66,59.87,37.95,31,19.09,4.47,1.64,6.73,4.93,1.68,0.12,53981,"JPN","Advanced Economies"
"15",90,"Japan",1955,"MF",15,999,3.47,55.31,35.59,35.96,22.78,5.26,2.07,7.19,5.12,1.93,0.15,59662,"JPN","Advanced Economies"
"16",90,"Japan",1960,"MF",15,999,2.4,47.2,30.59,44.8,26.9,5.6,2.72,7.76,5.31,2.28,0.17,65669,"JPN","Advanced Economies"
"17",90,"Japan",1965,"MF",15,999,1.46,52.58,35.89,40.61,19.61,5.35,2.34,7.48,5.41,1.91,0.15,73234,"JPN","Advanced Economies"
"18",90,"Japan",1970,"MF",15,999,0.71,50.42,35.68,41.27,20.18,7.59,3.55,7.83,5.51,2.1,0.22,79260,"JPN","Advanced Economies"
"19",90,"Japan",1975,"MF",15,999,0.41,44.78,32.02,43.36,22.18,11.45,5.66,8.38,5.59,2.45,0.34,84415,"JPN","Advanced Economies"
"20",90,"Japan",1980,"MF",15,999,0.31,38.7,28.22,45.13,31,15.86,5.04,9.1,5.67,3.02,0.42,89295,"JPN","Advanced Economies"
"21",90,"Japan",1985,"MF",15,999,0.29,33.5,24.77,47.65,32.92,18.56,10.76,9.63,5.72,3.33,0.59,94840,"JPN","Advanced Economies"
"22",90,"Japan",1990,"MF",15,999,0.24,32.13,24.13,46.09,29.73,21.53,12.48,9.82,5.75,3.39,0.68,100808,"JPN","Advanced Economies"
"23",90,"Japan",1995,"MF",15,999,0.19,23.13,17.84,52.25,34.57,24.43,14.28,10.51,5.83,3.9,0.77,105454,"JPN","Advanced Economies"
"24",90,"Japan",2000,"MF",15,999,0.17,18.94,14.7,53.81,37.41,27.08,16.15,10.94,5.86,4.22,0.86,108437,"JPN","Advanced Economies"
"25",90,"Japan",2005,"MF",15,999,0.16,15.81,12.33,54.69,39.62,29.35,17.88,11.3,5.89,4.47,0.94,110156,"JPN","Advanced Economies"
"26",90,"Japan",2010,"MF",15,999,0.13,11.71,9.13,57.57,40.98,30.59,18.91,11.6,5.91,4.69,0.99,110797,"JPN","Advanced Economies"
"27",92,"Republic of Korea",1950,"MF",15,999,27.86,62.3,53.47,8.33,4.28,1.51,0.72,4.5,4.06,0.39,0.04,11003,"KOR","East Asia and the Pacific"
"28",92,"Republic of Korea",1955,"MF",15,999,22.83,62.69,55.06,12.66,6.39,1.81,0.8,5.02,4.4,0.57,0.05,12993,"KOR","East Asia and the Pacific"
"29",92,"Republic of Korea",1960,"MF",15,999,42.6,36.94,32.52,17.78,8.66,2.6,1.39,4.2,3.31,0.82,0.08,14518,"KOR","East Asia and the Pacific"
"30",92,"Republic of Korea",1965,"MF",15,999,31.66,39.58,37.71,24.75,10.98,3.97,2.16,5.32,4.04,1.16,0.12,16194,"KOR","East Asia and the Pacific"
"31",92,"Republic of Korea",1970,"MF",15,999,24.31,39.13,37.55,30.77,13.4,5.78,3.16,6.19,4.49,1.51,0.18,18495,"KOR","East Asia and the Pacific"
"32",92,"Republic of Korea",1975,"MF",15,999,17.24,36.39,34.98,39.85,18.71,6.58,3.47,7.12,4.93,1.99,0.2,21962,"KOR","East Asia and the Pacific"
"33",92,"Republic of Korea",1980,"MF",15,999,13.07,28.03,27.06,49.79,26.11,9.12,4.76,8.13,5.19,2.66,0.28,25163,"KOR","East Asia and the Pacific"
"34",92,"Republic of Korea",1985,"MF",15,999,10.87,20.92,20.2,54.7,32.19,13.51,7.18,9,5.33,3.26,0.41,28577,"KOR","East Asia and the Pacific"
"35",92,"Republic of Korea",1990,"MF",15,999,8.05,16.06,15.29,58.65,38.97,17.24,9.4,9.85,5.49,3.82,0.53,31793,"KOR","East Asia and the Pacific"
"36",92,"Republic of Korea",1995,"MF",15,999,6.7,13.9,13.2,57.2,42.9,22.2,12.9,10.49,5.58,4.21,0.7,34487,"KOR","East Asia and the Pacific"
"37",92,"Republic of Korea",2000,"MF",15,999,5.93,11.76,11.15,52.03,39.59,30.24,19.08,11.06,5.62,4.45,0.99,37028,"KOR","East Asia and the Pacific"
"38",92,"Republic of Korea",2005,"MF",15,999,5.93,11.96,9.8,49.58,42.87,32.54,22.09,11.46,5.66,4.73,1.07,38925,"KOR","East Asia and the Pacific"
"39",92,"Republic of Korea",2010,"MF",15,999,3.44,9.64,8.84,45.28,35.46,41.64,30.04,12.05,5.77,4.85,1.43,40868,"KOR","East Asia and the Pacific"
